1,University District Farmers Market,5031 University Way NE,,Seattle,WA,98105
2,West Seattle Farmers Market,44th Ave SW & SW Alaska St,West Seattle Junction,Seattle,WA,98116
3,Queen Anne Farmers Market,1935 Queen Anne Ave N,W Crockett Street & Queen Anne Ave N,Seattle,WA,98109
4,Columbia City Farmers Market,4801 Rainier Ave S,,Seattle,WA,98118
5,South Lake Union Saturday Market,139 9th Ave N,,Seattle,WA,98109
6,Fremont Sunday Street Market,400 N 34th St,,Seattle,WA,98103
7,Phinney Farmers Market,6532 Phinney Ave N,67th and Phinney Ave N,Seattle,WA,98103
8,Wallingford Farmers Market,4800 Sunnyside,,Seattle,WA,98103
9,Wallingford Summer Market,1815 N 45th St,,Seattle,WA,98103
10,Magnolia Farmers Market,West McGraw & 33rd Ave West,,Seattle,WA,98199
11,Madrona Farmers Market,1126 Martin Luther King Jr Way,,Seattle,WA,98122
12,Rainier Farmers Market,2119 Rainier Ave S,,Seattle,WA,98144
13,Ballard Sunday Farmers Market,5300 Ballard Ave NW,,Seattle,WA,98107
14,Capitol Hill Broadway Farmers Market,1625 Broadway,Broadway and E Pine St,Seattle,WA,98122
